2015-11-16 15:17:11,205  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:17:11,272  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:17:11 KST 2015]; root of context hierarchy
2015-11-16 15:19:06,365  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:19:06,427  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:19:06 KST 2015]; root of context hierarchy
2015-11-16 15:19:07,049  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:19:07,049  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:19:07,049  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:19:07,049  INFO [com.hybrid.employee.DeptMapperTest] 40 OPERATIONS BOSTON
2015-11-16 15:19:07,056  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:19:07,082  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:22:44,099  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:22:44,168  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@71e9ddb4: startup date [Mon Nov 16 15:22:44 KST 2015]; root of context hierarchy
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,997  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:22:44,998  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:22:45,009  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:22:45,049  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:29:43,879  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:29:43,944  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:29:43 KST 2015]; root of context hierarchy
2015-11-16 15:29:44,589  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:29:44,589  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:29:44,589  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:29:44,597  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:29:44,623  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:36:25,928  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:36:25,996  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@71e9ddb4: startup date [Mon Nov 16 15:36:25 KST 2015]; root of context hierarchy
2015-11-16 15:36:26,703  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:36:26,703  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:36:26,703  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:36:26,712  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:36:26,741  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:37:08,522  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:37:08,587  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:37:08 KST 2015]; root of context hierarchy
2015-11-16 15:37:09,214  INFO [com.hybrid.employee.DeptMapperTest] 20 RESEARCH DALLAS
2015-11-16 15:37:09,214  INFO [com.hybrid.employee.DeptMapperTest] 		7369 SMITH null 
2015-11-16 15:37:09,214  INFO [com.hybrid.employee.DeptMapperTest] 		7566 JONES null 
2015-11-16 15:37:09,214  INFO [com.hybrid.employee.DeptMapperTest] 		7902 FORD null 
2015-11-16 15:37:09,214  INFO [com.hybrid.employee.DeptMapperTest] 30 SALES CHICAGO
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7499 ALLEN null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7521 WARD null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7654 MARTIN null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7698 BLAKE null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7844 TURNER null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7900 JAMES null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 10 ACCOUNTING NEW YORK
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7782 CLARK null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7839 KING null 
2015-11-16 15:37:09,215  INFO [com.hybrid.employee.DeptMapperTest] 		7934 MILLER null 
2015-11-16 15:37:09,223  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:37:09,249  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:55:39,395  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:55:39,459  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:55:39 KST 2015]; root of context hierarchy
2015-11-16 15:55:40,090  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:55:40,115  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 15:56:15,628  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 15:56:15,693  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 15:56:15 KST 2015]; root of context hierarchy
2015-11-16 15:56:16,312  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2015-11-16 15:56:16,337  INFO [org.springframework.jdbc.support.SQLErrorCodesFactory] SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2015-11-16 16:12:44,328  INFO [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [spring/beans_oracle.xml]
2015-11-16 16:12:44,391  INFO [org.springframework.context.support.GenericXmlApplicationContext] Refreshing org.springframework.context.support.GenericXmlApplicationContext@2a17b7b6: startup date [Mon Nov 16 16:12:44 KST 2015]; root of context hierarchy
